epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5331,3.14178,3.90285,2.87017,0.76016,0.04024,0.01004,0.00268,2.87118,4.16868,2.72029,0.00332737,0.00332737,0.0700537
2,112.953,2.59476,3.42734,2.44171,0.15292,0.06093,0.02915,0.00975,2.78343,3.77835,2.56092,0.0064409,0.0064409,0.0398339
3,162.26,2.39059,3.17769,2.29752,0.11059,0.10893,0.06391,0.02358,2.43516,3.1773,2.39844,0.00933443,0.00933443,0.00939406
4,211.451,2.28477,3.04182,2.21682,0.15505,0.13919,0.07412,0.02697,2.37461,3.10075,2.3045,0.00901,0.00901,0.00901
5,262.863,2.21648,2.88671,2.15842,0.18231,0.17116,0.10693,0.03828,2.23314,3.03746,2.19161,0.00868,0.00868,0.00868
6,312.197,2.16547,2.78694,2.07401,0.22867,0.2229,0.15273,0.06038,2.14167,2.6195,2.14748,0.00835,0.00835,0.00835
7,361.916,2.11971,2.71145,2.04284,0.19954,0.2151,0.1413,0.05367,2.16938,2.73168,2.15017,0.00802,0.00802,0.00802
8,411.392,2.0818,2.65244,2.00761,0.22239,0.2832,0.17823,0.07252,2.08285,2.65718,2.11247,0.00769,0.00769,0.00769
9,461.342,2.06311,2.60013,1.98167,0.25953,0.26713,0.19789,0.08132,2.04412,2.51451,2.03337,0.00736,0.00736,0.00736
10,511.215,2.02843,2.57375,1.96005,0.25525,0.28212,0.18444,0.07227,2.03489,2.6616,1.9887,0.00703,0.00703,0.00703
11,560.842,2.00411,2.50302,1.93721,0.26606,0.23398,0.17634,0.06817,2.05369,2.62563,2.0382,0.0067,0.0067,0.0067
12,610.09,1.97582,2.45806,1.91053,0.27348,0.30562,0.22651,0.0953,1.97619,2.38295,1.96,0.00637,0.00637,0.00637
13,659.453,1.97931,2.45313,1.89811,0.33659,0.31811,0.25032,0.10329,1.96295,2.32811,1.93218,0.00604,0.00604,0.00604
14,709.446,1.94911,2.39606,1.87875,0.3189,0.30091,0.24833,0.10225,1.95388,2.3166,1.92085,0.00571,0.00571,0.00571
15,759.503,1.94201,2.39181,1.87707,0.34429,0.3199,0.26951,0.11194,1.96426,2.27109,1.93263,0.00538,0.00538,0.00538
16,809.323,1.92799,2.3442,1.85693,0.34357,0.32657,0.27887,0.11334,1.93533,2.27265,1.93165,0.00505,0.00505,0.00505
17,858.742,1.92738,2.34069,1.85349,0.36596,0.33857,0.29743,0.12582,1.91997,2.2126,1.90025,0.00472,0.00472,0.00472
18,907.946,1.91521,2.29829,1.84053,0.3659,0.3262,0.28429,0.11895,1.90944,2.24539,1.88778,0.00439,0.00439,0.00439
19,958.391,1.90869,2.28458,1.83583,0.3842,0.35595,0.31263,0.13231,1.91775,2.17108,1.90712,0.00406,0.00406,0.00406
20,1007.54,1.88471,2.2646,1.82345,0.38622,0.35622,0.31874,0.13474,1.88525,2.14274,1.85972,0.00373,0.00373,0.00373
21,1057.98,1.91265,2.26465,1.87467,0.40237,0.34625,0.31805,0.13413,1.90081,2.15407,1.85202,0.0034,0.0034,0.0034
22,1106.89,1.89929,2.22124,1.86721,0.38406,0.379,0.33122,0.14117,1.87385,2.10265,1.84913,0.00307,0.00307,0.00307
23,1155.75,1.88302,2.18705,1.8508,0.40905,0.38218,0.33476,0.14406,1.86643,2.07003,1.83622,0.00274,0.00274,0.00274
24,1204.67,1.87103,2.15668,1.8423,0.40678,0.37819,0.34112,0.14718,1.86504,2.07173,1.82702,0.00241,0.00241,0.00241
25,1253.74,1.87038,2.14178,1.84002,0.43691,0.38252,0.34987,0.15121,1.84371,2.05906,1.81768,0.00208,0.00208,0.00208
26,1302.71,1.85869,2.12555,1.82938,0.43291,0.37289,0.3537,0.15186,1.86328,2.03625,1.82316,0.00175,0.00175,0.00175
27,1352.21,1.84748,2.09414,1.82043,0.44181,0.3896,0.36679,0.15888,1.85423,2.01941,1.81593,0.00142,0.00142,0.00142
28,1401.77,1.82092,2.0775,1.80906,0.43423,0.39736,0.36715,0.15776,1.8414,2.01092,1.80236,0.00109,0.00109,0.00109
29,1451.43,1.82211,2.06589,1.79966,0.45123,0.39875,0.37412,0.16049,1.84292,1.99431,1.80024,0.00076,0.00076,0.00076
30,1501.87,1.8074,2.04868,1.79021,0.45612,0.41345,0.37752,0.16152,1.83482,1.98647,1.79209,0.00043,0.00043,0.00043
