epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.675,3.95993,4.69241,3.37674,0.00044,0.10273,0.00029,7e-05,3.76007,4.02241,3.25994,0.00330749,0.00330749,0.0702326
2,30.4715,3.28542,4.15178,2.94578,0.00123,0.15848,0.0012,0.00032,3.33013,4.36067,2.98155,0.00642168,0.00642168,0.0400134
3,41.9313,3.05644,3.84064,2.79312,0.26932,0.02345,0.00578,0.00137,3.19835,3.78521,2.94644,0.00931587,0.00931587,0.00957426
4,53.3385,2.9118,3.69319,2.74024,0.54315,0.02328,0.00644,0.00188,3.37321,4.22187,3.09327,0.00901,0.00901,0.00901
5,64.7873,2.78876,3.52795,2.62813,0.53791,0.08775,0.02923,0.00879,2.76157,3.47358,2.66048,0.00868,0.00868,0.00868
6,76.5377,2.68696,3.40344,2.56582,0.53994,0.09882,0.01968,0.00585,2.69292,3.33509,2.557,0.00835,0.00835,0.00835
7,88.3103,2.5711,3.25171,2.47798,0.38529,0.16215,0.07088,0.02077,2.49122,2.91244,2.47157,0.00802,0.00802,0.00802
8,99.8679,2.48863,3.18378,2.42523,0.34778,0.17483,0.06597,0.02391,2.44348,2.91533,2.43673,0.00769,0.00769,0.00769
9,111.547,2.43925,3.12979,2.3967,0.32871,0.13265,0.0574,0.0208,2.43194,3.14784,2.38716,0.00736,0.00736,0.00736
10,123.117,2.3702,2.97134,2.31773,0.41616,0.16128,0.09417,0.03318,2.28964,2.70756,2.30744,0.00703,0.00703,0.00703
11,134.938,2.301,2.94514,2.25971,0.59153,0.13756,0.08178,0.02894,2.38226,3.0791,2.34107,0.0067,0.0067,0.0067
12,146.361,2.28468,2.93923,2.26828,0.20839,0.19069,0.11317,0.04553,2.2745,2.66142,2.29983,0.00637,0.00637,0.00637
13,157.929,2.23469,2.83664,2.19696,0.45716,0.19839,0.10449,0.03995,2.19451,2.72311,2.22809,0.00604,0.00604,0.00604
14,169.517,2.17797,2.78129,2.14932,0.49144,0.20029,0.12978,0.04507,2.19351,2.6709,2.19785,0.00571,0.00571,0.00571
15,180.946,2.16978,2.7673,2.17194,0.44421,0.20761,0.14449,0.05446,2.14845,2.61209,2.18509,0.00538,0.00538,0.00538
16,192.613,2.12569,2.74903,2.11542,0.44544,0.19202,0.13511,0.04905,2.29111,2.91313,2.27972,0.00505,0.00505,0.00505
17,204.024,2.08155,2.70686,2.10028,0.54659,0.21144,0.1929,0.08021,2.03026,2.52593,2.09261,0.00472,0.00472,0.00472
18,215.535,2.04402,2.61328,2.05289,0.52819,0.23297,0.17619,0.0711,2.06568,2.44969,2.10006,0.00439,0.00439,0.00439
19,227.183,2.03735,2.52384,2.02439,0.52806,0.23223,0.20134,0.07873,2.08757,2.34266,2.1073,0.00406,0.00406,0.00406
20,238.716,2.03339,2.56094,2.01917,0.53822,0.28736,0.1995,0.08772,1.98647,2.3793,2.05269,0.00373,0.00373,0.00373
21,251.748,1.99481,2.46688,2.00343,0.51505,0.26548,0.21311,0.09014,2.00996,2.28715,2.08562,0.0034,0.0034,0.0034
22,263.067,1.96385,2.43433,1.99129,0.25031,0.25106,0.22579,0.09969,1.97206,2.32625,2.03238,0.00307,0.00307,0.00307
23,274.445,1.95525,2.36283,1.97238,0.27257,0.30252,0.26489,0.12033,1.91825,2.22326,1.98656,0.00274,0.00274,0.00274
24,285.895,1.91497,2.3068,1.92264,0.59927,0.2784,0.26496,0.12481,1.92638,2.18289,1.99965,0.00241,0.00241,0.00241
25,297.417,1.91883,2.26111,1.94581,0.61816,0.28393,0.29668,0.12847,1.88845,2.12054,1.95958,0.00208,0.00208,0.00208
26,308.908,1.89154,2.21626,1.92548,0.59106,0.31971,0.29944,0.13881,1.91108,2.10501,1.98099,0.00175,0.00175,0.00175
27,320.391,1.87839,2.17341,1.92082,0.64992,0.28442,0.31317,0.14626,1.85563,2.05806,1.95412,0.00142,0.00142,0.00142
28,331.84,1.84877,2.15986,1.88613,0.66297,0.31486,0.32288,0.1521,1.85907,1.99577,1.94875,0.00109,0.00109,0.00109
29,343.309,1.81359,2.08656,1.86064,0.64167,0.32001,0.34449,0.16315,1.87631,1.98036,1.96321,0.00076,0.00076,0.00076
30,354.848,1.76251,2.05436,1.83967,0.47898,0.33788,0.34837,0.17141,1.82944,1.94281,1.91438,0.00043,0.00043,0.00043
