epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0223,2.99652,3.82284,2.98485,0.75877,0.01773,0.00292,0.00079,3.07478,4.76471,3.21211,0.00332737,0.00332737,0.0700537
2,129.083,2.55614,3.51404,2.5854,0.56832,0.04823,0.03269,0.01013,2.67189,3.59716,2.73155,0.0064409,0.0064409,0.0398339
3,184.635,2.35643,3.25124,2.41079,0.08412,0.13744,0.05127,0.01761,2.43714,3.7618,2.50922,0.00933443,0.00933443,0.00939406
4,240.213,2.22732,3.03579,2.2814,0.19382,0.12989,0.08915,0.03213,2.31738,3.02977,2.3571,0.00901,0.00901,0.00901
5,295.227,2.14529,2.90462,2.20599,0.19315,0.18835,0.1211,0.04097,2.27298,2.89294,2.31891,0.00868,0.00868,0.00868
6,350.695,2.11016,2.8404,2.14357,0.26367,0.19939,0.13728,0.04968,2.22384,2.83285,2.25651,0.00835,0.00835,0.00835
7,404.894,2.05624,2.73418,2.09487,0.27766,0.19354,0.14947,0.05524,2.15793,2.77422,2.18388,0.00802,0.00802,0.00802
8,459.101,2.00915,2.64702,2.05846,0.30104,0.22321,0.19799,0.07591,2.15413,2.63528,2.16714,0.00769,0.00769,0.00769
9,512.91,1.98387,2.6134,2.03574,0.31322,0.20413,0.17831,0.0719,2.10824,2.72372,2.12895,0.00736,0.00736,0.00736
10,567.206,1.96054,2.5596,2.00558,0.33503,0.28637,0.22436,0.0914,2.03584,2.47719,2.06531,0.00703,0.00703,0.00703
11,621.744,1.93677,2.50187,1.98257,0.27014,0.28398,0.19868,0.07557,2.08396,2.54507,2.11956,0.0067,0.0067,0.0067
12,676.79,1.91924,2.45776,1.96822,0.30614,0.26512,0.19929,0.08086,2.06224,2.55347,2.07732,0.00637,0.00637,0.00637
13,730.827,1.90503,2.44984,1.95713,0.31161,0.3182,0.24538,0.10019,2.00398,2.42253,2.01526,0.00604,0.00604,0.00604
14,785.963,1.88151,2.39093,1.93835,0.32539,0.31411,0.24516,0.10165,1.99711,2.37603,2.01163,0.00571,0.00571,0.00571
15,841.609,1.88805,2.38777,1.93978,0.34192,0.33189,0.26642,0.11349,1.97625,2.34622,1.98804,0.00538,0.00538,0.00538
16,896.255,1.85487,2.34401,1.91631,0.37596,0.32858,0.28141,0.11855,1.96587,2.29824,1.98906,0.00505,0.00505,0.00505
17,950.724,1.85781,2.33283,1.91872,0.35503,0.35963,0.27346,0.11133,1.98425,2.36136,1.98211,0.00472,0.00472,0.00472
18,1004.86,1.84214,2.30155,1.8963,0.36932,0.33111,0.2875,0.12146,1.94338,2.26437,1.94878,0.00439,0.00439,0.00439
19,1059.17,1.83546,2.25612,1.88538,0.37869,0.36107,0.3117,0.13012,1.95076,2.22392,1.96242,0.00406,0.00406,0.00406
20,1113.14,1.8193,2.24634,1.87694,0.39805,0.36343,0.31394,0.13195,1.92977,2.21037,1.93508,0.00373,0.00373,0.00373
21,1168.68,1.86344,2.23668,1.9036,0.40613,0.35423,0.31865,0.13958,1.89583,2.18993,1.91153,0.0034,0.0034,0.0034
22,1222.76,1.84516,2.18677,1.88948,0.4051,0.36906,0.32491,0.1416,1.89042,2.16894,1.89027,0.00307,0.00307,0.00307
23,1276.71,1.82798,2.15134,1.87403,0.43319,0.36763,0.33796,0.14577,1.90522,2.13671,1.90172,0.00274,0.00274,0.00274
24,1330.83,1.81229,2.12029,1.85911,0.43077,0.37979,0.34858,0.15012,1.88783,2.12036,1.88524,0.00241,0.00241,0.00241
25,1384.73,1.80389,2.08511,1.85443,0.45588,0.38494,0.35802,0.15493,1.87696,2.10644,1.88609,0.00208,0.00208,0.00208
26,1438.75,1.79514,2.072,1.83711,0.44731,0.38153,0.3623,0.15886,1.86261,2.07902,1.86691,0.00175,0.00175,0.00175
27,1492.75,1.7755,2.0358,1.82476,0.45406,0.39559,0.36963,0.16378,1.87189,2.06144,1.86887,0.00142,0.00142,0.00142
28,1546.72,1.76645,2.02263,1.81699,0.46352,0.39948,0.37205,0.16526,1.86452,2.05003,1.8628,0.00109,0.00109,0.00109
29,1600.66,1.75537,2.00171,1.80544,0.46669,0.40018,0.37883,0.16824,1.86381,2.04433,1.85529,0.00076,0.00076,0.00076
30,1654.6,1.74424,1.97341,1.7959,0.44508,0.4156,0.37968,0.16742,1.86286,2.03901,1.8593,0.00043,0.00043,0.00043
